id_visitor|searches|messages|bookings|visits
c3242be4-bcf9-47aa-babe-b1404f766126|2|0|0|5
1416536767_uaIK/5PhbDf6ZlMf|0|0|0|3
1409865230_g+tIHFiS9Ywq7S28|1|0|0|1
30539230-ba82-4355-81db-2e9115c48369|19|26|6|69
1417065433_PVzs8keSP3bNvy5Y|0|0|0|1
1402317918_n03ux+V5QbO4FCqU|0|0|0|2
1415994073_MIDQX9fDFofBf3kV|0|0|0|1
1424224282_x33lo0ReFYmkTjTV|0|0|0|1
1421807250_mMQuAEhi+G3stnwa|1|0|0|1
1424413316_RZZtp9S0uL3s4vsF|1|0|0|1
46cf3a9c-43d5-471c-ada4-4227f5c27384|6|54|0|412
1424684109_+ZylkA1GCmt7cuib|1|0|0|3
9adeb457-10b3-475f-93e0-8ec69dde50c7|4|5|1|17
1408098132_ogch+cyHqeiewckw|0|0|0|1
1420077592_dztfJaaMcGQ3BDcA|0|0|0|1
1426327704_anWbMQIDcgu/rsJO|2|0|0|2
f4be74b9-6504-4a13-a2a2-24994fd43b40|5|12|3|35
56c684c1-72b8-49d1-be9f-4b4537def6ac|9|3|0|21
1419491670_V9dHjuLq2zF0Dmbe|0|0|0|1
e001b3a4-f8ba-4237-8925-1c562eea170c|23|19|2|92
1415827151_YSU6+Gsn6vNjFxnP|0|0|0|1
1405076277_fSBZ3dpEWWClDpVn|2|0|0|2
1417143182_z7/bqTsM1P4lfXUQ|0|0|0|2
1413266778_WAXZW/C/D6cV4CTm|1|0|0|1
919c81b1-de26-44d2-b385-22c08d9e19f3|0|0|0|1
ed1329a6-064d-47e9-93bc-93f5a50822df|28|28|15|89
9e01486a-f995-4710-933d-be6d26ebd301|1|1|0|2
f05f550c-4475-4fba-906c-b3a410dd1c0b|3|0|0|4
1403223542_zZLbF/uGYG0oIoFR|1|0|0|1
1420775983_X7gpjOjxGJsgdGl7|0|0|0|1
738e7940-7b64-4dd5-ba34-f2619fd47aef|8|1|0|18
1425582491_lRZ8er7fUmvrhGHK|0|0|0|4
1405127344_anD56ZOm5G6Dmao5|0|0|0|1
80fbbd53-1f90-4886-be44-562462d9ae6d|10|0|0|40
7315ed68-f8d1-4675-b97c-519bf8cd54bf|25|18|6|194
1410567231_bUrJzOmKeQpeo6ll|2|0|0|6
1405316720_bXXl0s5s8QMub0k2|0|0|0|1
8c65f804-7ab2-4ab9-bed2-f50c9f6c4c19|3|2|1|5
1427719716_X/qRvBQt3jLQsgw8|1|0|0|1
c66c548e-246a-4639-8109-aee227f35df5|9|7|0|19
1409381617_m/mx4h54t2GFUyRS|1|0|0|1
1411442412_DHDpB+0Foj3NuwKk|1|0|0|1
1414809589_kSVI33i6Hf47SE3k|0|0|0|1
1420959346_8RbNplC6ua8Gh37I|0|0|0|1
1411551515_NvQbrpZk+H67RYQD|0|0|0|1
1404800427_OwaTmBSPHZzIYplI|1|0|0|1
04862ee0-26d8-4f8b-a69d-9a5821d08021|5|1|0|23
1397542737_tLarsEyYpWonsVi9|2|0|0|5
1406678637_c/gYnN2STsgeQJis|0|0|0|4
1411352513_KbsyZLTkmxFDvhV3|1|0|0|1
1404163885_oAFxvb+vpzXVihBX|0|0|0|1
f4d2b9cd-69ed-4cfb-80e3-14f0187af284|0|0|0|4
1d5c1295c38b6d32d61a28cd19aeca4a80e5f90d|2|0|0|2
1416025346_LWI9gzYJ4n3/KOx0|0|0|0|1
1415148684_lzq+1GkuvhhJz/t1|0|0|0|1
1407500350_PXTT3fpWpmRvaNbi|0|0|0|1
1413185631_kBIkzac+Unpt9UZG|3|0|0|3
1405722627_Ox1yvvBW40DQZSWa|0|0|0|1
1385529313_X3mFkF+I5m3xa82J|0|0|0|1
a49776d9-9382-4c86-9b59-e3513679fde8|13|11|1|29
1406369589_+Q60xsJY1EgZKpb2|1|0|0|1
2ec41206-3c49-4841-91c1-9f4deed80a89|5|0|0|8
1401611246_/nQNAbOdclVx/2NX|0|0|0|1
1415055448_eJ28lrKm7KlRrvTu|0|0|0|1
a0aa2dc2-c0c1-468c-8eb1-e5b40daa61d6|2|1|0|3
1405337496_SIX/lBRgGOMx6S6X|0|0|0|2
1421897955_nCIIoL+4epvNb8PW|0|0|0|2
1391841583_VgYEDM/F0Wb8uCFC|0|0|0|18
1414622636_QR5ipbXOLBFZkqtv|0|0|0|1
1404902842_8jggaQ8VuVz1Mu+D|0|0|0|1
1418375728_CK+NPeRXCnz7cD+o|0|0|0|1
1414379367_zXXzX8T5TJIg/puV|0|0|0|1
888311dd-7b0e-4e12-a684-5105aa338e03|1|0|0|13
1402128624_45Eg6vevvwg1jDAo|0|0|0|1
1411901907_Jp6Ui6kkK4WJ4n9r|0|0|0|1
1422864366_L4O7Pu62aY6KvEdx|0|0|0|1
1409478554_sVWCStCC2H8RfOGB|0|0|0|6
1427762547_TcPQ1PXwE87zfNS7|1|0|0|2
e6b3965a-9d7d-46d4-b8e9-6d9c258d71ad|17|1|1|22
1409909024_oOYXO1+wNl7IqtU3|1|0|0|3
1414584987_GS11jS6Djc1c1Ku6|0|0|0|1
1404510839_SKL2DCv+McWwb7hK|0|0|0|1
1424011935_TRf2iO+apdIULry3|0|0|0|1
1425799587_ubAkk5Vyncd8jeng|2|0|0|2
1417167003_vRJIIhmE72O37/X3|0|0|0|1
1404359501_b/Bl8j95OgEwLJDi|0|0|0|1
f61f7322-ec4a-43d9-be7e-b0633e71e2b4|3|12|2|28
1425377199_zdHO8gesMGRPFptv|1|0|0|2
cd5485e9-de64-498a-bd8b-b264df348444|0|0|0|6
1407363860_umnChNRBMi5ItBNw|0|0|0|1
1423614332_6ScAOncVvkYwCVqp|0|0|0|1
1424162794_IH2qxha+X7f+znYc|1|0|0|1
1427010708_5cqXp6Ex5f633DKk|0|0|0|1
e853a76b-56ee-4b6b-ab9f-8e0088c02da3|1|0|0|2
9410bf15-a2a2-420d-85ab-e7230e542653|5|48|0|197
1416965707_XcGKC4i/tBP3LEeP|0|0|0|1
1423440486_g1sooTNYp73/eLux|1|0|0|1
1417837302_vliTEQYvDwTI4IvA|1|0|0|1
1409894271_x3w/+J3bjS9Ek5GD|0|0|0|1
04b8e876-3afc-41cf-aff9-50b64b4e2ae3|18|13|3|45
1408326736_eJTCFmhFE201gB81|0|0|0|2
1419722604_zJJV0O80BSLk7A/C|0|0|0|1
18780911-1eda-476b-b2fb-d7043903917f|0|0|0|3
484681334fd4caee3333c425873a1ceba333b0de|2|0|0|5
1423294899_28JK/g7RYSdCSJdk|0|0|0|1
1425618299_D9YiKYnEnsto8AvV|0|0|0|1
1409985713_x0L3zC65Gl/KrZDG|0|0|0|48
1404344351_uEITatOITsn5wKEC|0|0|0|1
0331fa39-455f-4f47-9db2-18ce37ee90e4|7|0|0|22
3789f526-ddfa-4f48-8e25-23c3cc2631ff|27|21|4|83
1414490388_oqMBJ4N9QkI5lGZq|0|0|0|1
1412297351_c3GlEDZCQgU1CmGR|1|0|0|1
1415225024_hjG2D37Z7M9BsqkE|0|0|0|1
1415888097_nt/rciMeQVTpSOnB|0|0|0|1
1424162521_m/xeJULQSjkxEtGY|0|0|0|1
1410175752_nsJOCR1gBxExzJMQ|0|0|0|1
1412762830_Jb61dGxnrgGbXXa5|1|0|0|1
1416288501_4p40wi+uOa36BTH4|0|0|0|1
1425639672_CIBoKlDaL+i3wdRu|1|0|0|1
1410065515_KHzhrUMZ2SKkxL2u|0|0|0|4
1405646035_yHuyPURgUxxyKjmC|0|0|0|1
1425378106_7qfn11LqGcj5TDdc|0|0|0|2
1425988176_ARMFPQmZtCWetwLP|1|0|0|1
1405894366_YCfbvFDBZ49Mw0Tn|0|0|0|1
1408401761_KlZrpF2f1QbrYQsT|0|0|0|1
53aba509-c7b3-4dd7-bd75-c7c9a60512ff|3|0|0|12
1414268164_HIE9/WDeceJSBcy5|0|0|0|1
1422176839_yuM1A31Rd70DMC1f|1|0|0|2
1416609935_eQa7Xe5mi6oLXH/T|0|0|0|1
8acfc07ea69d6dc3febc09f2ba0b77d0fcc64844|5|0|0|8
3e722d62-71a1-44f2-bc93-abb6b50dddd7|22|6|2|79
1416483064_mMfL62KW1eMRWCiQ|0|0|0|1
1404212904_vuxqykoEBQObs18G|0|0|0|2
1394319268_NUrIMT78ijJfpnPW|0|0|0|1
1418014852_8oUL1XT6gOtlz12Y|0|0|0|1
81c8f7a7-835a-4060-bbed-7a78d85dbd8d|3|16|0|131
56463d31-5ebd-4784-904e-69e5b23b9ec4|0|0|0|3
47adbdec-72b0-4482-9fc6-06d71c01d4b6|3|1|0|14
1405337281_CZi9VEZiq6orkiw1|0|0|0|1
1406350551_dzpszQkgBuwOdtJz|0|0|0|1
1411260756_0AaW2MLvpQEdlIYI|0|0|0|2
4c9aa89c-395e-4e62-8b1d-2ad7dbab658c|1|0|0|1
1412635654_8v/xx8Z37G0YfZT7|0|0|0|2
1417242098_MwzbwRgtGUAB4Usc|0|0|0|1
1421986801_vxQtgpECf7VdfYMH|0|0|0|1
aa5cc3f8-e8fe-4c61-aa42-25adadb19412|6|15|0|99
1421210347_P3GXNMNkhRBENVzg|1|0|0|1
1416383114_N++XkKY4d+xY70zt|1|0|0|1
1403167384_BQm8g7123qvk5Ttm|0|0|0|1
9cc1ab22-ffd4-4400-91b0-b8b7c2a8d16a|6|3|1|17
ab250b9f-79d1-4dc0-af0c-74c6ba83c5ce|7|7|3|16
1399096437_87FFE3/t2sd346iM|0|0|0|6
dadeed04-3b6f-40eb-8986-0dbbcbe7048c|10|0|0|20
1420421079_StGg2vRiCB5ewV7O|1|0|0|1
1422364159_rIwByMVtWiVoSaCC|0|0|0|1
1412560446_tQGM3GRFDIYu6fRR|0|0|0|1
1418502675_gwqftteO3hyNIdhR|0|0|0|1
233dfb90-1133-4b3a-91ef-0bf4d77a2c9d|4|0|0|17
1405673714_JWI1UInj04ie+6mb|0|0|0|1
1423947322_ObXIPvK3GM5dO+MD|1|0|0|1
1409935968_gnyLlUgsDf5JpjPr|0|0|0|4
24b53796-206c-49a1-8d2a-7712e928f1bd|1|0|0|3
1416016184_Z/cnbyWJhC2AdmUn|0|0|0|2
1402887608_qG048ODBPd4BWAwo|1|0|0|1
1412643895_1k5BerJTKmIQfcZJ|0|0|0|1
1405040552_7X6aqe74OEgnTnhD|1|0|0|1
1421703857_k3GXu7529o+hBYcR|3|0|0|3
9480a694-a8e9-4254-847b-74b23dcc4352|15|3|0|29
1417600279_zHk3DoSj7S6COcAq|1|0|0|1
1405491142_zPDUYAK/h3x8hNxV|0|0|0|1
1403068291_GqYOtOfZF1a4rBX4|0|0|0|1
1394916311_bVrUShme5Ph/rIv9|0|0|0|1
1419761223_XW9ayRES4vdBybJB|0|0|0|1
332fae3e-ebbb-4ccb-92c9-b4ef318e143b|14|23|5|139
1417672137_/dPOs6kJRH8q3vMK|0|0|0|1
1409559577_U0iSKjUpNfTdZwXD|0|0|0|1
1417588328_bigFbaM1amNcWIwD|3|0|0|3
1424684038_G9B5lkTarmSu3fWC|0|0|0|1
1427671777_RVX2jrSTz6M55OQX|1|0|0|2
1410168578_KWfAFg2Ku7QAEvZy|0|0|0|1
1419911500_hmh7oB+Q4gzojCFC|0|0|0|1
1404453910_ntWJbTsm4DgL2HLG|0|0|0|12
8bcc70ec-7426-4341-8581-e3eb21ab21f1|29|9|5|109
1414042152_U5n+VhhBGSfOyYXb|0|0|0|1
1408194109_naAeuAKesenz+T3n|0|0|0|1
1401244881_h2/Az530Ky3F+1E/|0|0|0|3
1425263163_p9nLJMUgxSyYYDDg|0|0|0|1
1411442015_PVMdUbyxncGl5mgQ|0|0|0|1
1412022447_BxqLfEDYFVMljaBF|0|0|0|1
1417735617_QTN3aF+wiVk3s9dt|0|0|0|1
1411215658_EuCx1wUPolQp+0kA|0|0|0|1
a5a87dd2-f39a-4fe4-875a-bf39f1e73ae0|3|0|0|6
878950c426a81a60022b2978db1dc9f73a27f019|1|0|0|1
1404349115_fZ2L+D32EeyBTk9R|0|0|0|3
1413753874_rNVV7I6ji3TXK1s6|0|0|0|2
1405947268_Qbc6YwOF8rrOvN6+|0|0|0|1
fd61c634-6876-4c76-81b3-6da2f86a92b8|12|88|1|276
873acdb5bccc92c8|0|0|0|1
1413605307_6AmHcjwFDO5BP0as|0|0|0|1
1417670311_zz0awutBXg8pWMAX|1|0|0|1
1419066529_Gh0nXT6cjJG6Isu0|0|0|0|1
1426720671_MwQpJzgcDupiOtuM|0|0|0|1
1402793942_9XP2IgDBfyBdM1Va|0|0|0|1
1406617111_18xt1Z3Lbvx2TY0X|0|0|0|1
1426404102_cCpnOOUJ7hk5ooYD|1|0|0|1
1415837274_WkeIozkmlW0DNBA/|0|0|0|1
1404045563_+vd0d6vjXi6gXWvm|0|0|0|1
0a0c565a-f147-4fa6-955b-ef80374b3dbc|0|3|1|13
1416348220_Gd68oC+y16pVYXdb|0|0|0|1
1415572205_XkP07FWPxaRsp5db|0|0|0|1
1402691314_Gbt2yDmx37IFECTM|6|0|0|11
1410754782_Qx2mk/N3/b4Wwbsu|0|0|0|1
1408520724_AZO+q88eXp21HmNl|0|0|0|1
1401886047_X0gs+onCh0croP6x|0|0|0|2
1417414663_B6XiFnugGNMWhkvn|1|0|0|2
1401838398_mPLNpepTq0YbjVNO|0|0|0|1
1405553660_j0r15Li2xeqO18eL|0|0|0|1
1406230177_R4Lug39oRa5mAi8U|0|0|0|1
5394362b-4b9f-4c56-89be-2fb585140aef|1|1|0|4
1413355706_/DVd8wPLPZB+/iOl|0|0|0|1
1416028090_f3Gu2rGkD5nUnGS+|0|0|0|1
d11e73ea-1341-426d-bb69-4de77dc39c37|3|4|2|38
1405329195_NYhR8zZuP8LeeByj|0|0|0|1
1411334175_gXOmy+RLIRRUVXJG|0|0|0|1
1421511843_ovtnGtfulVnMqMws|0|0|0|1
1417099918_huFv0VuToVr3owG6|0|0|0|1
1413958442_SK23vyS4pu8Bm0hb|0|0|0|1
b28ba8ae-e6da-4f6d-907d-3414417ca8ea|6|7|3|37
b101f654-50e3-41b9-bdad-2791d4624f15|0|0|0|2
3c94d2c0-068d-4c45-92f2-6a9f54922e65|9|0|1|11
1421206087_SOKRe3s2fFTCx0WC|0|0|0|1
1410785044_AG0quCuGa5wXQNd2|0|0|0|2
9241bf28-7a36-4f7a-a580-ac3c568e38ac|10|6|1|40
1408450092_vmH/lXV+OwYF8iq4|1|0|0|1
1414397268_mC2ZbvZ88V7cU7Q+|1|0|0|1
1424218671_/EZc3N44lSqdi+rk|1|0|0|1
567dea51-4d5b-45dd-9f51-4ecf2b523d0a|3|2|1|7
1412749949_+el0SVob/BXRhZan|0|0|0|2
1415163871_fd1UUEV+u+Y9Neoq|0|0|0|1
1416710158_CBGObIlh/9KMtown|1|0|0|2
5cee382a-8f95-44ac-8ff3-2744ecc02df6|1|1|1|4
1415961669_8BoX8HhL0Mfttlgx|3|0|0|3
48936a43-2778-403f-968a-d27f36488476|17|16|0|73
1424681484_gtFL4X+IrtX4ZUt3|2|0|0|2
1414302515_mFw06yhUPxIGuAOl|0|0|0|1
1416031461_sglxYBnHXoRWTcz9|0|0|0|2
1424084962_kAsR5wvlJl7M+8Op|1|0|0|1
1418042336_l+CWiw2uRy7sisI+|1|0|0|2
1406106373_d7T5yxjAgannZSoI|0|0|0|1
1416002624_BE7HtoR3s8j91GUi|0|0|0|1
d52bf4d0-0c77-4633-99a3-dc1d3b47ace3|6|12|0|28
1418613274_wWPKwuJFkCiGwugb|1|0|0|2
1416127231_hbvmLM1YN/M6yLmV|0|0|0|1
6e493d08-69ff-4273-8b06-a6da94372736|6|0|0|31
1403758970_kic9AZ+g8f21Taqq|0|0|0|1
1411979623_x7uUylyCR3L2GlD6|0|0|0|1
1405290294_+qycdHPIIYPe3HMA|0|0|0|1
1410787362_1s5j2QEzmcl03TAj|0|0|0|2
1401714003_4w6nEgTDqZZrVhvP|0|0|0|1
f991d3fa-5627-4a8e-beee-2f8efe1c1023|6|1|0|10
1415258041_aMS+JjGUYh8CN9XI|2|0|0|3
1401691402_3cn5E0P7aGbOdLGv|2|0|0|3
1412042288_Y/g6Glk2UVMA3Aj2|0|0|0|1
bd4faad7-2256-40f3-be70-a6a656f0165b|37|3|2|86
1401878466_VrBEpjsKRVqJHM6R|0|0|0|4
1400917768_950x8jytEikdB3RG|0|0|0|5
1396818465_3A6tSa6kwevlhGJ5|0|0|0|1
1379147694_YnPRK5kZgEyoimpq|1|0|0|3
1410581026_WMNRoGzlU8R8IEqK|0|0|0|1
1418503330_JfOBZ5rNAVlENgsA|0|0|0|1
ab509d56b1ebe1ed91066d6732738fc1ba4ddf5c|1|0|0|1
1405861580_uzLq97V/aAVqEV6j|0|0|0|2
88479d1a-748f-4ba1-9596-4775e0dd4077|1|2|0|3
1405998911_h/JABQ9Og0dJrXhC|1|0|0|1
1423447472_OR6jSYzhffgRT4lm|0|0|0|1
9bbbe561-e64b-4677-a0b5-94c185e7fd05|3|7|0|21
1418455326_A0Ruzg5CvzT4C1xx|0|0|0|1
1415975434_kvaUqgJJgb5WiHcV|0|0|0|1
cf49fd40-c7dc-4ca0-bd0d-b38636b6aeb8|0|5|0|44
e4edb1c6-e36d-4a37-9573-b93108dc0d2c|8|0|0|11
1419295102_pya3983vBkwertwQ|0|0|0|1
1410334893_aZ4X5ffGgvogkLLN|1|0|0|1
1408527976_6W1qQuVqoPVvod6z|0|0|0|8
8ce26bfc-7af1-4d4a-b731-3ff3e641ab38|6|2|2|27
1414394968_Z0nbfSLmQZ3d2OgW|1|0|0|1
1410865248_Nqsg5G8T5NP77mIo|1|0|0|1
1415251197_ujWbxNgkh/VYi58o|1|0|0|1
1422874411_BGOnm/J1pwH/o4TI|1|0|0|2
1414464546_ffxuPV9uBDHxpM08|0|0|0|1
1418097106_Mku4rszki2tVhqQ8|4|0|0|4
5fa7c25a-3853-409a-a352-3ce9778dc882|2|0|0|12
1404271074_H6lpUm5Ar6Q/cJKF|1|0|0|1
f383e3bf-ca96-4fc1-8dc1-c3f421d44073|15|8|2|31
1418425519_807oQCvcQUnr1oYN|0|0|0|1
b03087b5-6b04-4e91-be49-5b254dd0e839|7|128|0|340
1411957646_U4fmYwwTaqcDqkAc|0|0|0|2
1417386688_RQv/SmaFMdD1J2s+|0|0|0|1
1407645946_A71vauhx0d9bR9rL|0|0|0|1
1427375125_/hZBDvelNVHQMAGm|0|0|0|1
1412747993_Cm14kewo7PLxy/bt|1|0|0|1
1408607505_2cAKsvYApgrlarRR|0|0|0|1
1427252455_7OH8NFXN4huWRhqA|0|0|0|1
1415750432_O/s8UV+uex+NgdYk|1|0|0|1
1406453849_FjN3kzfmaHMB2LX9|0|0|0|1
1415096758_+Qd/G4icdUvOyirF|0|0|0|1
1423029652_usAUvI55yNPDLaKZ|0|0|0|1
30fae64a-38f5-4803-bad7-088825fe6a3b|4|5|0|23
1421296371_DT/ZL4uSyx4TZBwR|1|0|0|1
1417757680_TyjecFkYsVJ5Oeam|0|0|0|1
1417404606_o16X8utkmN5ybUpN|0|0|0|1
1422699165_8fmXMiF0OTKL1d92|0|0|0|1
1425273143_Xudh7dpaC01/b0rE|3|0|0|5
1411192599_8e7MkJJhC+TI9SJk|0|0|0|1
1407667293_ttet1A9ZMjgvqKmS|0|0|0|1
1414462415_WNDSVDzy238lC1+O|1|0|0|4
1408571958_eKrS05yEK7X8e/lm|0|0|0|1
1422497072_qKoD8z7wncIjHfkG|2|0|0|4
1427366247_9t4zhgd0WEFNo0P6|0|0|0|1
98c352ee-12e0-4d43-99a3-97edd8dd4bb1|3|39|0|431
1392950902_uFXwwQ++pXXl9VTd|2|0|0|2
1422833833_oSUX2yLKmuTn+uw5|0|0|0|1
dc673096-7a2c-4b45-835e-c46dd52af69b|1|0|0|1
1414522351_o+BPbScdNFAyAGPV|0|0|0|1
9a22cc16-a727-4ec2-808f-51a0fddaa467|6|4|2|14
1398658204_YiyxsJiHF1NeZH4B|0|0|0|2
fbf1b17c-0be3-4abf-8116-c6f92d24c8f8|8|2|0|12
1405038293_SAH7oynKHMeeQNAK|0|0|0|1
1417509918_t+UNIm5Cae7CU6Dk|0|0|0|1
1427243972_BQB9wMG04gDE+KpM|0|0|0|2
1415319276_U83ucrGHTKbki/tC|0|0|0|3
788f8a3f-969b-4d55-9b4b-9f88e682d24a|1|0|0|7
1417674004_Sib6Myc82YaQM2mt|0|0|0|1
1418713185_ZnEHyYKWYJH020ts|0|0|0|1
1409557713_JEuyJaPC3EGLBat/|1|0|0|4
1418016672_W/AbP4hdCMrxUryF|0|0|0|1
5d084af14e32f2ed1fac1e83fa775cfc894b3ecc|0|0|0|1
1400994163_muF8gP9hbVwS9wLo|0|0|0|1
1411093337_DKoadIh+Ttx+/QQL|0|0|0|1
1406372116_JFu2RnEUGBsSARvf|0|0|0|1
6a499ae1-6d2a-4c58-9224-46beb6efa5b3|0|4|0|9
d43b50a1-a44b-4451-89e6-3a541bc0e9ba|4|0|0|12
1407486574_9yNZv517Qaa/0Qzt|0|0|0|1
1424060344_43kTJ3VixJL97x9Q|0|0|0|1
07eac4b7-4750-4b5d-b28a-fda177e63639|1|1|0|2
1411195671_5ScKpnEl9GGZI5RD|1|0|0|1
1415818190_kx8/gtAUUPwegSXX|0|0|0|1
1427570619_LtadgYxgjsbWwsx3|0|0|0|1
1426136804_oR2BT822NOx5+qtd|0|0|0|1
1405500622_CavXo0KugyKDi96r|0|0|0|1
1421903295_jh2dIQLbIPfiOQjy|0|0|0|1
1405665490_QRtQVPDxbfNnP6/i|0|0|0|4
1423267126_8gbA5IeG/AU089qV|0|0|0|1
a0b33472-b4c8-4a2c-962f-19ddf48bbe6d|22|7|0|55
1407753109_faQRcrMM6PvPYfHr|0|0|0|1
191750a8-3886-4adf-9ebc-69f0ddf506b9|13|0|0|22
1407582283_uuqskiPYA0tNwCP5|1|0|0|2
1422395291_UWPwiTrLuogZg3RC|0|0|0|1
1413841145_5l/FCwmAOas5pzNW|0|0|0|1
1422929659_GjsZXJSKtAAksnGd|3|0|0|3
1421310164_EAXtCZxqjH7v0zzY|3|0|0|3
1421573452_taNpMSEe94euSzHE|0|0|0|1
1413265772_/Fkg2I0EEphCuIMP|0|0|0|1
1409701208_ksMyMxCCwc+06tK5|0|0|0|1
1420436552_rNrloyANYq85e+5l|0|0|0|1
1404859694_criHkZ7clWww6ZCa|3|0|0|3
1414464936_gVq2+fwinjUW4RSK|1|0|0|1
1417144017_n49EH6vfAlYrmMk/|0|0|0|1
e38be539-8e32-4d4e-8310-e7d416a82eba|24|24|14|98
1421287925_e3U2dEKG9ZXmfH6s|0|0|0|1
1420983017_o1Zcx/gSikEPBLT3|0|0|0|5
1410169551_KGOL/pS9bG7R33uO|1|0|0|4
1409483050_zBjVK0gc0bNGtyhB|0|0|0|1
68cd8fe2-bd28-45ae-beb3-5b9597cac40a|17|21|4|103
1412759194_/+aUaLc9++TSr17B|2|0|0|3
1407970802_cpva4tmMFgLr36J/|0|0|0|4
1424927529_EU+Pm2xojVE2iWDI|2|0|0|2
1419426651_D7eRqHvmWx8PJTOP|0|0|0|1
1425534019_ucNctv/FdDzTXUHc|0|0|0|1
1402078138_9rkW9462VjeRz0lh|0|0|0|1
1409179280_YqAoXnTPTXII7VHt|0|0|0|1
1407674089_SkPBZQEDbbMWHon3|0|0|0|1
102add08a1cbe9a8e31231911b6520987aac100b|0|0|0|1
1410230880_6ZQmn994x9crIgkx|0|0|0|1
1406201571_S81/ABrTixsNkHvZ|0|0|0|1
1407143075_60q1Tt6d1cIon7KI|0|0|0|5
18c9e4e3-a5a5-46ba-915a-b3fe6e95c475|1|1|0|5
1400407570_Jb45iQe/2yGSc6My|1|0|0|1
af9e9562c8712352ea6f99a368d5b69c7f0323d8|0|0|0|1
1a90a6a0-72ee-4b12-b9dd-bda519031808|1|0|0|4
1406330037_W7Ji/0h16ck5GY9f|0|0|0|2
1403605794_JK+uYfOYrAxTjard|0|0|0|1
1415263991_YHLQ1DiZxW1pkNia|1|0|0|1
1405482898_RXqvVfrzmRPAimjX|2|0|0|2
1411116206_ihWSdGZQGOKlGBG+|3|0|0|3
1418036463_8dV8QsFBlxDVMbr7|0|0|0|2
1417742408_LVPDiSQo0m7+GrnN|1|0|0|3
1405167446_tJfxXmOwoo8oOGPd|0|0|0|2
1426463923_kbAccCGxhLE+qywh|0|0|0|1
1403424499_IBfGHcPfkNzIOwSO|1|0|0|1
1398159643_YC6+CxqTvx9xCOhJ|5|0|0|6
1402487121_SCp5BKziAa2OieO2|0|0|0|1
1422858503_n2o9u4qaSkEoC6fl|2|0|0|2
1416996780_oRmjpw0G40hrXpMI|0|0|0|1
1417749551_LyRDjDEKgTaQDIVI|0|0|0|1
1418247085_ck+kZWn2cie2zspL|0|0|0|1
1426664426_KVT1N/5xQf8IiWFx|1|0|0|1
1418119043_fQoalnK1yw+q0CL5|0|0|0|1
1423686274_V+5a4T0vxMl9cluE|0|0|0|3
1413966713_/kCr4rOPtkq0kVWS|1|0|0|1
